family,var_a,var_b,block,relation,test,effect,effect_size,ci_lo,ci_hi,p,q,n,rows,cols,min_expected,interpretation
categorical,Professional wiring,Bill-calculation literacy,energy~behaviour,substantive,chi2,cramers_v,0.0,,,0.6676,0.9526,70,3.0,3.0,0.6,negligible
categorical,Main occupation,Uses renewable source,demographic~energy,substantive,chi2,cramers_v,0.0,,,0.6719,0.9526,70,5.0,2.0,0.1714,negligible
categorical,Any disconnection notice,Meter-checking frequency,energy~behaviour,substantive,chi2,cramers_v,0.0,,,0.6782,0.9544,70,2.0,4.0,2.8,negligible
categorical,Educational attendance,Uses renewable source,demographic~energy,substantive,chi2,cramers_v,0.0,,,0.7085,0.984,70,5.0,2.0,0.1714,negligible
categorical,House type,Educational attendance,dwelling~demographic,substantive,chi2,cramers_v,0.0,,,0.7127,0.984,70,5.0,5.0,0.0143,negligible
categorical,Solar user,Province,energy~context,substantive,chi2,cramers_v,0.0,,,0.716,0.984,70,2.0,6.0,0.2286,negligible
categorical,Construction period,Night-lighting restraint,dwelling~behaviour,substantive,chi2,cramers_v,0.0,,,0.7232,0.984,70,6.0,3.0,0.5143,negligible
categorical,Gender,Educational attendance,demographic,substantive,chi2,cramers_v,0.0,,,0.7324,0.984,70,2.0,5.0,0.1857,negligible
categorical,Architectural design level,Bill-calculation literacy,dwelling~behaviour,substantive,chi2,cramers_v,0.0,,,0.7379,0.984,70,6.0,3.0,0.2,negligible
categorical,Roof type,Professional wiring,dwelling~energy,substantive,chi2,cramers_v,0.0,,,0.743,0.984,70,3.0,3.0,0.3,negligible
categorical,Educational attendance,Meter-checking frequency,demographic~behaviour,substantive,chi2,cramers_v,0.0,,,0.7487,0.984,70,5.0,4.0,0.2,negligible
categorical,Roof type,Gender,dwelling~demographic,substantive,chi2,cramers_v,0.0,,,0.7598,0.984,70,3.0,2.0,1.3,negligible
categorical,Night-lighting restraint,Energy-rating awareness,behaviour,substantive,chi2,cramers_v,0.0,,,0.7714,0.984,70,3.0,2.0,1.6286,negligible
categorical,Construction period,Solar user,dwelling~energy,substantive,chi2,cramers_v,0.0,,,0.7742,0.984,70,6.0,2.0,1.3714,negligible
categorical,Any disconnection notice,Ironing efficiency,energy~behaviour,substantive,chi2,cramers_v,0.0,,,0.7792,0.984,70,2.0,5.0,0.6,negligible
categorical,Architectural design level,Educational attendance,dwelling~demographic,substantive,chi2,cramers_v,0.0,,,0.7818,0.984,70,6.0,5.0,0.0143,negligible
categorical,Roof type,Meter-checking frequency,dwelling~behaviour,substantive,chi2,cramers_v,0.0,,,0.7917,0.984,70,3.0,4.0,1.4,negligible
categorical,Architectural design level,Outer-wall material,dwelling,substantive,chi2,cramers_v,0.0,,,0.7946,0.984,70,6.0,3.0,0.0571,negligible
categorical,Gender,Ironing efficiency,demographic~behaviour,substantive,chi2,cramers_v,0.0,,,0.8021,0.984,70,2.0,5.0,0.5571,negligible
categorical,House type,Solar user,dwelling~energy,substantive,chi2,cramers_v,0.0,,,0.8072,0.984,70,5.0,2.0,0.2286,negligible
categorical,Main occupation,Night-lighting restraint,demographic~behaviour,substantive,chi2,cramers_v,0.0,,,0.8103,0.984,70,5.0,3.0,0.0857,negligible
categorical,Construction period,House type,dwelling,substantive,chi2,cramers_v,0.0,,,0.8183,0.984,70,6.0,5.0,0.0857,negligible
categorical,Outer-wall material,Ironing efficiency,dwelling~behaviour,substantive,chi2,cramers_v,0.0,,,0.8256,0.984,70,3.0,5.0,0.1714,negligible
categorical,Architectural design level,Main occupation,dwelling~demographic,substantive,chi2,cramers_v,0.0,,,0.8264,0.984,70,6.0,5.0,0.0143,negligible
categorical,Gender,Night-lighting restraint,demographic~behaviour,substantive,chi2,cramers_v,0.0,,,0.8421,0.984,70,2.0,3.0,1.1143,negligible
categorical,Architectural design level,Meter-checking frequency,dwelling~behaviour,substantive,chi2,cramers_v,0.0,,,0.8457,0.984,70,6.0,4.0,0.2,negligible
categorical,House type,Meter-checking frequency,dwelling~behaviour,substantive,chi2,cramers_v,0.0,,,0.8505,0.984,70,5.0,4.0,0.2,negligible
categorical,Bill-calculation literacy,Night-lighting restraint,behaviour,substantive,chi2,cramers_v,0.0,,,0.8536,0.984,70,3.0,3.0,1.2,negligible
categorical,Construction period,Bill-calculation literacy,dwelling~behaviour,substantive,chi2,cramers_v,0.0,,,0.8542,0.984,70,6.0,3.0,1.2,negligible
categorical,Outer-wall material,Main occupation,dwelling~demographic,substantive,chi2,cramers_v,0.0,,,0.8564,0.984,70,3.0,5.0,0.0571,negligible
categorical,Construction period,Any disconnection notice,dwelling~energy,substantive,chi2,cramers_v,0.0,,,0.8656,0.984,70,6.0,2.0,1.2,negligible
categorical,Ironing efficiency,Energy-rating awareness,behaviour,substantive,chi2,cramers_v,0.0,,,0.8735,0.984,70,5.0,2.0,0.8143,negligible
categorical,Gender,Bill-calculation literacy,demographic~behaviour,substantive,chi2,cramers_v,0.0,,,0.8765,0.984,70,2.0,3.0,2.6,negligible
categorical,House type,Relationship to head,dwelling~demographic,substantive,chi2,cramers_v,0.0,,,0.8828,0.984,70,5.0,7.0,0.0143,negligible
categorical,Outer-wall material,Solar user,dwelling~energy,substantive,chi2,cramers_v,0.0,,,0.8882,0.984,70,3.0,2.0,0.9143,negligible
categorical,Gender,Main occupation,demographic,substantive,chi2,cramers_v,0.0,,,0.8884,0.984,70,2.0,5.0,0.1857,negligible
categorical,Main occupation,Province,demographic~context,substantive,chi2,cramers_v,0.0,,,0.8918,0.984,70,5.0,6.0,0.0143,negligible
categorical,Uses renewable source,Meter-checking frequency,energy~behaviour,substantive,chi2,cramers_v,0.0,,,0.8956,0.984,70,2.0,4.0,2.4,negligible
categorical,Construction period,Uses renewable source,dwelling~energy,substantive,chi2,cramers_v,0.0,,,0.8964,0.984,70,6.0,2.0,1.0286,negligible
categorical,House type,Uses renewable source,dwelling~energy,substantive,chi2,cramers_v,0.0,,,0.8969,0.984,70,5.0,2.0,0.1714,negligible
categorical,Province,Bill-calculation literacy,context~behaviour,substantive,chi2,cramers_v,0.0,,,0.9054,0.984,70,6.0,3.0,0.2,negligible
categorical,Outer-wall material,Uses renewable source,dwelling~energy,substantive,chi2,cramers_v,0.0,,,0.906,0.984,70,3.0,2.0,0.6857,negligible
categorical,Relationship to head,Ironing efficiency,demographic~behaviour,substantive,chi2,cramers_v,0.0,,,0.9074,0.984,70,7.0,5.0,0.0429,negligible
